Frequency_Hz,S11_dB,S21_dB
1000000000.0,-16.346555526390997,-4.224180970549263
1096666666.6666667,-17.28573673790161,-4.214043015742587
1193333333.3333333,-18.63274756137543,-4.357764772510109
1290000000.0,-19.457060322454158,-4.321021409682438
1386666666.6666667,-20.825465874109952,-4.348404293143165
1483333333.3333335,-21.37477847331251,-4.314238280171358
1580000000.0,-21.38978426792594,-4.212157618165848
1676666666.6666667,-21.14119518292513,-4.176161692612273
1773333333.3333335,-19.64728383194458,-3.980495001103998
1870000000.0,-18.566459565243065,-3.914088819642532
1966666666.6666667,-17.100107086265893,-3.6909349743824804
2063333333.3333335,-15.743555939416645,-3.571676095824114
2160000000.0,-14.697746245822751,-3.387762890604566
2256666666.666667,-13.476990488202944,-3.228304892060945
2353333333.3333335,-12.707755142499748,-3.1276612764227845
2450000000.0,-11.839811319852313,-2.98149284588506
2546666666.666667,-11.245782357048238,-2.9766778543051546
2643333333.3333335,-10.78392990272385,-2.9123640594574907
2740000000.0,-10.374326645301013,-2.9883122265337887
2836666666.666667,-10.249173355947242,-3.047719419064407
2933333333.3333335,-10.083938242720334,-3.1741743701357885
3030000000.0,-10.174586672238107,-3.346181403768354
3126666666.666667,-10.295146140215191,-3.4945837511527134
3223333333.3333335,-10.508764766255487,-3.723171038111819
3320000000.0,-10.899220914771128,-3.8769183021015676
3416666666.666667,-11.222049695430954,-4.092467539467687
3513333333.3333335,-11.812773148205245,-4.2419737078327815
3610000000.0,-12.312138006559504,-4.3922156784276005
3706666666.666667,-13.022385632143113,-4.5220106131805045
3803333333.3333335,-13.80650168799463,-4.587029804147148
3900000000.0,-14.610257221827418,-4.670258195466736
3996666666.666667,-15.765926524235905,-4.658070921412608
4093333333.3333335,-16.75569002991461,-4.665087525325044
4190000000.0,-18.246828701812266,-4.594905688335601
4286666666.666667,-19.58739827967882,-4.509634560395057
4383333333.333334,-20.841454850454888,-4.395836109956239
4480000000.0,-21.80475148279331,-4.22826631600595
4576666666.666667,-21.066744692095682,-4.076859989272758
4673333333.333334,-19.76871401864137,-3.86405564909789
4770000000.0,-17.98134299715442,-3.6843260990804194
4866666666.666667,-16.078075892345424,-3.480534183564174
4963333333.333334,-14.634215054307035,-3.3016866357355013
5060000000.0,-13.162926038552428,-3.1629032187671635
