frequency_Hz,S11_dB,S21_dB,S11_mag,S21_mag,power_sum,Zin_real_ohm,Zin_imag_ohm,Zin_mag_ohm
1000000000.0,-5.274106473944587,1.8655596610355842,0.5448722326605535,1.2395897688153543,1.8334685448761998,21.81297630927398,32.366204959681305,39.03046449840236
1020000000.0,-5.202470261070767,1.919750215727942,0.5493846070312007,1.247347643155924,1.8576995893294654,22.31241353195842,34.09603845169725,40.74780528716532
1040000000.0,-5.225343190118645,1.8745583080975448,0.5479397919539737,1.240874658611669,1.8400079339911901,23.25060977047373,35.77204325046391,42.66415278675892
1060000000.0,-5.178989665395775,1.938845683186213,0.5508717695707535,1.2500928872908132,1.8661919333650951,23.923632759881862,37.47760835802955,44.4624710589452
1080000000.0,-5.211745988437837,1.8994126311840076,0.5487982282009831,1.244430456389604,1.8497866560665766,25.02259459827453,39.1534151568038,46.46633360693128
1100000000.0,-5.190771575426587,1.9732450984061352,0.5501250502347534,1.2550535455125937,1.8777969729995223,25.893631164133346,40.820565285641415,48.34044564444447
1120000000.0,-5.234785728427847,1.9408508174232977,0.5473444434770228,1.2503815040587958,1.8630398454975081,27.17824379142009,42.47517717647342,50.42615999418033
1140000000.0,-5.239484892563084,2.023525252926032,0.5470484040551651,1.262339763527609,1.892763634962243,28.2745538565854,44.07981008408043,52.36869344214678
1160000000.0,-5.296416602415642,1.999207003276716,0.5434744977687199,1.2588104807741618,1.8799683562318388,29.7717322568885,45.68064732246574,54.52593494269816
1180000000.0,-5.327400102208121,2.0898617653244673,0.5415393195004845,1.2720175059502306,1.9112933700088925,31.121349940027738,47.184765791937714,56.5238051172219
1200000000.0,-5.399234629418236,2.0744441523344874,0.537079119841454,1.2697616542906776,1.900748639676669,32.85670505768008,48.68332891347968,58.73354732472257
1220000000.0,-5.457423258306308,2.1720418835147877,0.5334931372087476,1.284109604156124,1.9335524029348288,34.48346082082277,50.03075175063038,60.76335401304328
1240000000.0,-5.546450540510347,2.166064359201314,0.528052949753233,1.2832261994491394,1.925509396695773,36.47517884865313,51.358922327994364,62.993472477187595
1260000000.0,-5.633208451485288,2.2694032947482405,0.5228048134031575,1.2985843503172776,1.9596461878064564,38.3910147645373,52.47132386120712,65.01622753127565
