time_s,I2_A
2.82674585469e-10,2.83
2.83989347837e-10,2.85
2.85304110205e-10,2.86
2.86618872573e-10,2.87
2.87933634941e-10,2.89
2.89248397309e-10,2.9
2.90563159677e-10,2.91
2.91877922045e-10,2.93
2.93192684414e-10,2.94
2.94507446782e-10,2.95
2.9582220915e-10,2.97
2.97136971518e-10,2.98
2.98451733886e-10,2.99
2.99766496254e-10,3.01
3.01081258622e-10,3.02
3.02396020991e-10,3.03
3.03710783359e-10,3.05
3.05025545727e-10,3.06
3.06340308095e-10,3.07
3.07655070463e-10,3.08
3.08969832831e-10,3.1
3.10284595199e-10,3.11
3.11599357568e-10,3.12
3.12914119936e-10,3.14
3.14228882304e-10,3.15
3.15543644672e-10,3.16
3.1685840704e-10,3.18
3.18173169408e-10,3.19
3.19487931776e-10,3.2
3.20802694145e-10,3.22
3.22117456513e-10,3.23
3.23432218881e-10,3.24
3.24746981249e-10,3.26
3.26061743617e-10,3.27
3.27376505985e-10,3.28
3.28691268353e-10,3.3
3.30006030722e-10,3.31
3.3132079309e-10,3.32
3.32635555458e-10,3.33
3.33950317826e-10,3.35
3.35265080194e-10,3.36
3.36579842562e-10,3.37
3.3789460493e-10,3.39
3.39209367299e-10,3.4
3.40524129667e-10,3.41
3.41838892035e-10,3.43
3.43153654403e-10,3.44
3.44468416771e-10,3.45
3.45783179139e-10,3.47
3.47097941507e-10,3.48
3.48412703876e-10,3.49
3.49727466244e-10,3.51
3.51042228612e-10,3.52
3.5235699098e-10,3.53
3.53671753348e-10,3.54
3.54986515716e-10,3.56
3.56301278084e-10,3.57
3.57616040453e-10,3.58
3.58930802821e-10,3.6
3.60245565189e-10,3.61
3.61560327557e-10,3.62
3.62875089925e-10,3.64
3.64189852293e-10,3.65
3.65504614661e-10,3.66
3.6681937703e-10,3.68
3.68134139398e-10,3.69
3.69448901766e-10,3.7
3.70763664134e-10,3.72
3.72078426502e-10,3.73
3.7339318887e-10,3.74
3.74707951238e-10,3.76
3.76022713607e-10,3.77
3.77337475975e-10,3.78
3.78652238343e-10,3.79
3.79967000711e-10,3.81
3.81281763079e-10,3.82
3.82596525447e-10,3.83
3.83911287815e-10,3.85
3.85226050184e-10,3.86
3.86540812552e-10,3.87
3.8785557492e-10,3.89
3.89170337288e-10,3.9
3.90485099656e-10,3.91
3.91799862024e-10,3.93
3.93114624392e-10,3.94
3.94429386761e-10,3.95
3.95744149129e-10,3.97
3.97058911497e-10,3.98
3.98373673865e-10,3.99
3.99688436233e-10,4.01
4.01003198601e-10,4.02
4.02317960969e-10,4.03
4.03632723338e-10,4.04
