time_s,U1_V,I1_A,U2_V,I2_A
2.62952473628e-12,-0.00138740368083,0.0014706689095206216,-3.9,3.9393261316878476
3.94428710442e-12,-1.76282859599e-05,-2.8106758208713443e-05,-5.25,5.254323559671389
1.05180989451e-11,-0.0001458795291,-0.10902997803328207,-1.1,1.1811500343095318
1.18328613133e-11,-0.0002143833808081,-0.19325445858750756,-1.3,1.3099331275710908
1.31476236814e-11,-0.0002617622094481,-0.3011172900439647,-1.41,1.4399331275710856
1.57771484177e-11,-8.90794515271e-51,-0.45860338773781806,-1.7,1.6999331275710907
1.70919107858e-11,0.0002313008708371,-0.3821019217571609,-1.8,1.8399279835380924
1.8406673154e-11,0.0007170709177441,-0.9952614171834572,-1.9,1.969933127571091
1.97214355221e-11,0.00129389459471,0.04328128600668746,-2.12,2.101932098764487
2.23509602584e-11,0.00214385955769,0.02149896752823268,-2.3,2.3599336419743873
2.36657226265e-11,0.00213373439328,0.030709863910217718,-2.4,2.489933127571086
2.49804849947e-11,0.00176697641291,0.03801774007818296,-2.6,2.619933127571091
2.62952473628e-11,0.00113044906448,0.04193623382525595,-2.7,2.7619269547314937
2.7610009731e-11,0.000391458719605,0.02288082421840513,-2.8,2.8909336419792933
2.89247720991e-11,-0.000268280298769,0.003813591576580261,-3.03,3.0199336419743874
3.15542968354e-11,-0.000915152091693,0.0024528483420729916,-3.2,3.282933127576032
3.28690592035e-11,-0.000894952590897,0.0017325888377953803,-3.43,3.412933127571088
3.54985839398e-11,-0.000536515692147,0.007089405351588024,-3.6,3.682930555554592
3.6813346308e-11,-0.00034779690759,0.004774726450455432,-3.8,3.813266289443263
3.81281086761e-11,-0.000204360191674,0.002457477317077522,-3.9,3.943599622773292
3.94428710442e-11,-0.0001106163445,0.00014022818369959986,-4.04,4.073932956103321
4.20723957805e-11,-2.89387029397e-05,0.0005585356681122651,-4.34,4.333933127571088
4.47019205168e-11,-9.86272079473e-06,0.00033625647702926055,-4.6,4.60059807956347
4.6016682885e-11,-6.9602103121e-06,0.00022503431310062072,-4.74,4.733931412903564
4.86462076212e-11,-4.02937403265e-06,0.0001326239374457577,-4.94,4.993933127571088
5.12757323575e-11,-2.31275772933e-06,8.484970885531875e-05,-5.25,5.261264574762379
5.52200194619e-11,-9.84814747085e-07,4.390093518233624e-05,-5.65,5.6580751763673325
5.78495441982e-11,-5.4276372552e-07,2.6841435312363612e-05,-5.95,5.921218033511619
6.17938313026e-11,-2.07284530873e-07,1.2521855077290113e-06,-6.36,6.3159323192230445
6.44233560389e-11,-9.12278608212e-08,8.901577273478822e-06,-6.56,6.575933127571088
7.09971678796e-11,4.04820055255e-08,3.305310724321027e-06,-7.27,7.231431712962015
7.75709797203e-11,5.74430305544e-08,4.2712583309452444e-07,-7.87,7.886933127571087
9.3348128138e-11,7.07749916451e-08,0.05632129344898909,-9.49,8.15118276018832
1.01236702347e-10,7.19023371953e-08,0.3944229510162599,-1.0,1.0206113314877623
1.02551464715e-10,6.82102427874e-08,0.3943917058734331,-1.0,1.0299948559677667
1.03866227083e-10,6.57462266851e-08,0.3943485316074574,-1.0,1.0499897119355337
1.05180989451e-10,6.57170664553e-08,0.3943156637056284,-1.0,1.0609943415645435
1.06495751819e-10,6.82444591948e-08,0.3942890595411212,-1.01,1.0754925411477503
1.09125276556e-10,7.55433779975e-08,0.39425165909711446,-1.1,1.0999948559677668
1.10440038924e-10,7.70484183121e-08,0.39424943424220454,-1.1,1.1099948559677668
1.11754801292e-10,7.6417093986e-08,0.3942494331,-1.1,1.1299897119355335
1.1306956366e-10,7.4480815293e-08,0.3942494331,-1.1,1.1399948559677666
1.14384326028e-10,7.23988504703e-08,0.3942494331,-1.1,1.1509943415645436
1.15699088396e-10,7.09260126186e-08,0.3942494331,-1.11,1.1654925411477504
1.18328613133e-10,6.99118940517e-08,0.3942494331,-1.1,1.1899948559677667
1.19643375501e-10,6.9868945296e-08,0.3942494331,-1.2,1.1999948559677667
1.20958137869e-10,7.00053304215e-08,0.3942494331,-1.2,1.2199897119355332
1.22272900237e-10,7.03232378996e-08,0.3942494331,-1.2,1.2299948559677667
1.23587662605e-10,7.07136704747e-08,0.3942494331,-1.2,1.2409943415645437
1.24902424973e-10,7.0991286627e-08,0.3942494331,-1.21,1.2554925411477504
1.2753194971e-10,7.09741483362e-08,0.3942494331,-1.2,1.2799948559677667
1.28846712078e-10,7.09157736978e-08,0.3942494331,-1.3,1.2999897119355337
1.30161474446e-10,7.0991311496e-08,0.3942494331,-1.3,1.3099948559677668
