time_s,U2_V
1.31476236814e-12,-2.6
2.62952473628e-12,-3.9
3.94428710442e-12,-5.2
5.25904947257e-12,-6.5
6.57381184071e-12,-7.8
7.88857420885e-12,-9.2
9.20333657699e-12,-1.0
1.05180989451e-11,-1.1
1.18328613133e-11,-1.3
1.31476236814e-11,-1.4
1.44623860496e-11,-1.5
1.57771484177e-11,-1.7
1.70919107858e-11,-1.8
1.8406673154e-11,-1.9
1.97214355221e-11,-2.1
2.10361978903e-11,-2.2
2.23509602584e-11,-2.3
2.36657226265e-11,-2.4
2.49804849947e-11,-2.6
2.62952473628e-11,-2.7
2.7610009731e-11,-2.8
2.89247720991e-11,-3.0
3.02395344673e-11,-3.1
3.15542968354e-11,-3.2
3.28690592035e-11,-3.4
3.41838215717e-11,-3.5
3.54985839398e-11,-3.6
3.6813346308e-11,-3.8
3.81281086761e-11,-3.9
3.94428710442e-11,-4.0
4.07576334124e-11,-4.2
4.20723957805e-11,-4.3
4.33871581487e-11,-4.4
4.47019205168e-11,-4.6
4.6016682885e-11,-4.7
4.73314452531e-11,-4.8
4.86462076212e-11,-4.9
4.99609699894e-11,-5.1
5.12757323575e-11,-5.2
5.25904947257e-11,-5.3
5.39052570938e-11,-5.5
5.52200194619e-11,-5.6
5.65347818301e-11,-5.7
5.78495441982e-11,-5.9
5.91643065664e-11,-6.0
6.04790689345e-11,-6.1
6.17938313026e-11,-6.3
6.31085936708e-11,-6.4
6.44233560389e-11,-6.5
6.57381184071e-11,-6.7
6.70528807752e-11,-6.8
6.83676431434e-11,-6.9
6.96824055115e-11,-7.0
7.09971678796e-11,-7.2
7.23119302478e-11,-7.3
7.36266926159e-11,-7.4
7.49414549841e-11,-7.6
7.62562173522e-11,-7.7
7.75709797203e-11,-7.8
7.88857420885e-11,-8.0
8.02005044566e-11,-8.1
8.15152668248e-11,-8.2
8.28300291929e-11,-8.4
8.41447915611e-11,-8.5
8.54595539292e-11,-8.6
8.67743162973e-11,-8.8
8.80890786655e-11,-8.9
8.94038410336e-11,-9.0
9.07186034018e-11,-9.2
9.20333657699e-11,-9.3
9.3348128138e-11,-9.4
9.46628905062e-11,-9.5
9.59776528743e-11,-9.7
9.72924152425e-11,-9.8
9.86071776106e-11,-9.9
9.99219399788e-11,-1.0
1.01236702347e-10,-1.0
1.02551464715e-10,-1.0
1.03866227083e-10,-1.0
1.05180989451e-10,-1.0
1.06495751819e-10,-1.0
1.07810514188e-10,-1.0
1.09125276556e-10,-1.1
1.10440038924e-10,-1.1
1.11754801292e-10,-1.1
1.1306956366e-10,-1.1
1.14384326028e-10,-1.1
1.15699088396e-10,-1.1
1.17013850765e-10,-1.1
1.18328613133e-10,-1.1
1.19643375501e-10,-1.2
1.20958137869e-10,-1.2
1.22272900237e-10,-1.2
1.23587662605e-10,-1.2
1.24902424973e-10,-1.2
1.26217187342e-10,-1.2
1.2753194971e-10,-1.2
1.28846712078e-10,-1.3
1.30161474446e-10,-1.3
1.31476236814e-10,-1.3
1.32790999182e-10,-1.3
1.3410576155e-10,-1.3
1.35420523919e-10,-1.3
1.36735286287e-10,-1.3
1.38050048655e-10,-1.3
1.39364811023e-10,-1.4
1.40679573391e-10,-1.4
1.41994335759e-10,-1.4
1.43309098127e-10,-1.4
1.44623860496e-10,-1.4
1.45938622864e-10,-1.4
1.47253385232e-10,-1.4
1.485681476e-10,-1.4
1.49882909968e-10,-1.5
1.51197672336e-10,-1.5
1.52512434704e-10,-1.5
1.53827197073e-10,-1.5
1.55141959441e-10,-1.5
1.56456721809e-10,3.0
1.57771484177e-10,1.57
1.59086246545e-10,-0.0
1.60401008913e-10,-0.0
1.61715771281e-10,-0.0
1.6303053365e-10,-0.0
1.64345296018e-10,-0.0
1.65660058386e-10,-0.0
1.66974820754e-10,-0.0
1.68289583122e-10,-0.0
1.6960434549e-10,-0.0
1.70919107858e-10,-0.0
1.72233870227e-10,-0.0
1.73548632595e-10,-0.0
1.74863394963e-10,-0.0
1.76178157331e-10,-0.0
1.77492919699e-10,-0.0
1.78807682067e-10,-0.0
1.80122444435e-10,-0.0
1.81437206804e-10,-0.0
1.82751969172e-10,-0.0
1.8406673154e-10,-0.0
1.85381493908e-10,-0.0
1.86696256276e-10,-0.0
1.88011018644e-10,-0.0
1.89325781012e-10,-0.0
1.90640543381e-10,-0.0
1.91955305749e-10,-0.0
1.93270068117e-10,-0.0
1.94584830485e-10,-0.0
1.95899592853e-10,-0.0
1.97214355221e-10,-0.0
1.98529117589e-10,-0.0
1.99843879958e-10,-0.0
2.01158642326e-10,-0.0
2.02473404694e-10,-0.0
2.03788167062e-10,-0.0
2.0510292943e-10,-0.0
2.06417691798e-10,-0.0
2.07732454166e-10,-0.0
2.09047216534e-10,-0.0
2.10361978903e-10,-0.0
2.11676741271e-10,-0.0
2.12991503639e-10,-0.0
2.14306266007e-10,-0.0
2.15621028375e-10,-0.0
2.16935790743e-10,-0.0
2.18250553111e-10,-0.0
2.1956531548e-10,-0.0
2.20880077848e-10,-0.0
2.22194840216e-10,-0.0
2.23509602584e-10,-0.0
2.24824364952e-10,-0.0
2.2613912732e-10,-0.0
2.27453889688e-10,-0.0
2.28768652057e-10,-0.0
2.30083414425e-10,-0.0
2.31398176793e-10,-0.0
2.32712939161e-10,-0.0
2.34027701529e-10,-0.0
2.35342463897e-10,-0.0
2.36657226265e-10,-0.0
2.37971988634e-10,-0.0
2.39286751002e-10,-0.0
2.4060151337e-10,-0.0
2.41916275738e-10,-0.0
2.43231038106e-10,-0.0
2.44545800474e-10,-0.0
2.45860562842e-10,-0.0
2.47175325211e-10,-0.0
2.48490087579e-10,-0.0
2.49804849947e-10,-0.0
2.51119612315e-10,-0.0
2.52434374683e-10,-0.0
2.53749137051e-10,-0.0
2.55063899419e-10,-0.0
2.56378661788e-10,-0.0
2.57693424156e-10,-0.0
2.59008186524e-10,-0.0
2.60322948892e-10,-0.0
2.6163771126e-10,-0.0
2.62952473628e-10,-0.0
2.64267235996e-10,-0.0
2.65581998365e-10,-0.0
2.66896760733e-10,-0.0
2.68211523101e-10,-0.0
2.69526285469e-10,-0.0
2.70841047837e-10,-0.0
2.72155810205e-10,-0.0
2.73470572573e-10,-0.0
2.74785334942e-10,-0.0
2.7610009731e-10,-0.0
2.77414859678e-10,-0.0
2.78729622046e-10,-0.0
2.80044384414e-10,-0.0
2.81359146782e-10,-0.0
2.8267390915e-10,-0.0
2.83988671519e-10,-0.0
2.85303433887e-10,-0.0
2.86618196255e-10,-0.0
2.87932958623e-10,-0.0
2.89247720991e-10,-0.0
2.90562483359e-10,-0.0
2.91877245727e-10,-0.0
2.93192008096e-10,-0.0
2.94506770464e-10,-0.0
2.95821532832e-10,-0.0
2.971362952e-10,-0.0
2.98451057568e-10,-0.0
2.99765819936e-10,-0.0
3.01080582304e-10,-0.0
3.02395344673e-10,-0.0
3.03710107041e-10,-0.0
3.05024869409e-10,-0.0
3.06339631777e-10,-0.0
3.07654394145e-10,-0.0
3.08969156513e-10,-0.0
3.10283918881e-10,-0.0
3.1159868125e-10,-0.0
3.12913443618e-10,-0.0
3.14228205986e-10,-0.0
3.15542968354e-10,-0.0
3.16857730722e-10,-0.0
3.1817249309e-10,-0.0
3.19487255458e-10,-0.0
3.20802017827e-10,-0.0
3.22116780195e-10,-0.0
3.23431542563e-10,-0.0
3.24746304931e-10,-0.0
3.26061067299e-10,-0.0
3.27375829667e-10,-0.0
3.28690592035e-10,-0.0
3.30005354404e-10,-0.0
3.31320116772e-10,-0.0
3.3263487914e-10,-0.0
3.33949641508e-10,-0.0
3.35264403876e-10,-0.0
3.36579166244e-10,-0.0
3.37893928612e-10,-0.0
3.3920869098e-10,-0.0
3.40523453349e-10,-0.0
3.41838215717e-10,-0.0
