Frequency_Hz,S11_dB,S21_dB
1000000000.0,-15.625140526468531,-4.335500630114704
1096666666.6666667,-16.670582529201255,-4.437740709656866
1193333333.3333333,-17.477448927975598,-4.565428252717602
1290000000.0,-18.078873414657984,-4.538699132231855
1386666666.6666667,-19.10594082355517,-4.588119570747272
1483333333.3333335,-19.48461187074483,-4.576759626326279
1580000000.0,-19.383995494624013,-4.466089819801668
1676666666.6666667,-19.485510178861098,-4.4362085765620405
1773333333.3333335,-18.76291847247863,-4.2942338252912275
1870000000.0,-17.66459402827702,-4.131080841104694
1966666666.6666667,-16.94023051025387,-4.019570523965497
2063333333.3333335,-15.805796138386574,-3.798891085899462
2160000000.0,-14.663842146192911,-3.6287097949495277
2256666666.666667,-13.918860932223126,-3.47678552301847
2353333333.3333335,-12.969341966859737,-3.268264409130692
2450000000.0,-12.171868850189366,-3.1588679201936127
2546666666.666667,-11.682230124677922,-3.051926212536215
2643333333.3333335,-11.089538139434804,-2.959550803776558
2740000000.0,-10.710867142668537,-2.977440368759538
2836666666.666667,-10.567796426989274,-2.990617451658057
2933333333.3333335,-10.368865233214073,-3.0612158625556702
3030000000.0,-10.393640628218176,-3.2058455555817513
3126666666.666667,-10.59124730031613,-3.3303560286639633
3223333333.3333335,-10.729246894791121,-3.509504796283686
3320000000.0,-11.094592246107124,-3.7028231539440264
3416666666.666667,-11.57320425545347,-3.8624985282423383
3513333333.3333335,-11.97877193979968,-4.051425792537417
3610000000.0,-12.654955113821039,-4.207351341687952
3706666666.666667,-13.387780208254757,-4.32866851182447
3803333333.3333335,-14.069093716456472,-4.451847411952493
3900000000.0,-15.12169247734057,-4.52047654556992
3996666666.666667,-16.174474939152304,-4.56076203744847
4093333333.3333335,-17.241087781642186,-4.5817225134593835
4190000000.0,-18.811981889209335,-4.548027732605995
4286666666.666667,-20.20692652321745,-4.49243467304451
4383333333.333334,-21.261858749481934,-4.408196794616621
4480000000.0,-22.102629718561452,-4.28310981509431
4576666666.666667,-21.565638076720766,-4.143668340202664
4673333333.333334,-19.844081245544377,-3.9835334610779656
4770000000.0,-18.238524855066988,-3.805449466410582
4866666666.666667,-16.61334394838601,-3.6296147372094856
4963333333.333334,-14.950349808233307,-3.4594802039549566
5060000000.0,-13.742472052279982,-3.3004979227737468
5156666666.666667,-12.680531459010819,-3.1727577871778316
5253333333.333334,-11.707940258750373,-3.0825309565695207
5350000000.0,-11.091524952078803,-3.0265071783330684
5446666666.666667,-10.584495442345528,-3.02445500605982
5543333333.333334,-10.199145385784426,-3.066433755358624
5640000000.0,-10.10336115946515,-3.1388647865475363
5736666666.666667,-10.075115534166468,-3.2570314245747505
5833333333.333334,-10.178125067527066,-3.3885505259671027
5930000000.0,-10.528006306524366,-3.5260791127017836
6026666666.666667,-10.906106817780943,-3.678890558657441
6123333333.333334,-11.455266228303469,-3.805166170020236
6220000000.0,-12.253005310818693,-3.91832909839376
6316666666.666667,-13.08826479268702,-4.015784669045923
6413333333.333334,-14.254584208996517,-4.063360288158705
6510000000.0,-15.792677274479654,-4.0920485669226885
6606666666.666667,-17.59417937188587,-4.083296231552657
6703333333.333334,-20.431242896911964,-4.024257761916728
6800000000.0,-24.59544778920179,-3.9502767613868923
6896666666.666667,-30.240172596732616,-3.8343106169734282
6993333333.333334,-26.675870556133574,-3.6914590550113653
7090000000.0,-20.843862956016707,-3.5516629478555943
7186666666.666667,-17.187852442311172,-3.395911081945091
7283333333.333334,-14.333164538782183,-3.264582385119791
7380000000.0,-12.275868577791806,-3.179337689894437
7476666666.666667,-10.685696000687496,-3.1368657204331356
7573333333.333334,-9.380932219892536,-3.1819487636380432
7670000000.0,-8.477042411847949,-3.3137485780250846
7766666666.666667,-7.826083450433345,-3.522985245594474
7863333333.333334,-7.368339934373322,-3.825049846365876
7960000000.0,-7.178522486814445,-4.185700198163181
8056666666.666667,-7.125074158905848,-4.583996768066102
8153333333.333334,-7.182461774153723,-5.015542427869447
8250000000.0,-7.413013259504444,-5.440724428194081
8346666666.666667,-7.686258770584824,-5.849618816724932
8443333333.333334,-8.027403791313287,-6.2390344505549455
8540000000.0,-8.491983657352955,-6.5791079510264066
8636666666.666668,-8.94442441802808,-6.874004071544386
8733333333.333334,-9.470749220578995,-7.120638687957416
8830000000.0,-10.095046746061458,-7.297083181021028
8926666666.666668,-10.678951042285256,-7.414775364144183
9023333333.333334,-11.364636481172273,-7.465610649955849
9120000000.0,-12.114222822429618,-7.4339839146551645
9216666666.666668,-12.781458164109678,-7.3319274669063494
9313333333.333334,-13.521571077549071,-7.145878595089473
9410000000.0,-14.179867801097771,-6.8665387005684515
9506666666.666668,-14.517414147569625,-6.504155167413598
9603333333.333334,-14.60083509379099,-6.048199348118697
9700000000.0,-14.233589242443987,-5.504347040806133
9796666666.666668,-13.30971765136433,-4.9049911774020245
9893333333.333334,-12.168389776900126,-4.291686522633489
9990000000.0,-11.024438953547273,-3.760276961579182
10086666666.666668,-10.029321433002531,-3.4730043973880766
10183333333.333334,-9.480201678780507,-3.5806580140940896
10280000000.0,-9.492049756889054,-4.1528183456817205
10376666666.666668,-9.877339708248735,-5.130061581834822
10473333333.333334,-10.418149212804677,-6.332222501578352
10570000000.0,-10.989067175680043,-7.614858405279675
10666666666.666668,-11.361599153353893,-8.9044678679107
10763333333.333334,-11.409480848437987,-10.120816581610638
10860000000.0,-11.26614675303289,-11.263874318295912
10956666666.666668,-10.911026889682365,-12.340861968362235
11053333333.333334,-10.348531820256252,-13.311851047609773
11150000000.0,-9.771151830849544,-14.22465279209052
11246666666.666668,-9.142549129032835,-15.07341898571892
11343333333.333334,-8.45781656341079,-15.828723813576971
