frequency_Hz,frequency_GHz,S11_real,S11_imag,S11_dB,S21_real,S21_imag,S21_dB,S21_phase_deg,group_delay_ns
10000000.0,0.01,7.237379560178598e-06,0.0011870130793175569,-58.51072846710248,0.9999807084743347,-0.006097017856105191,-6.119441262799878e-06,-0.34933580125781377,0.09703752056328477
16999000.0,0.016999,2.0912885365429722e-05,0.002017692317844397,-53.90243466122645,0.9999442546077909,-0.01036417663064399,-1.7682421116638103e-05,-0.5938354195698886,0.09703736347944797
23998000.0,0.023998,4.167694101056759e-05,0.002848198584833556,-50.907664874911035,0.9998889021321219,-0.014631111402548816,-3.5238676257337384e-05,-0.8383342462925265,0.09703698467088559
30997000.0,0.030997,6.952744348004015e-05,0.0036784606880879297,-48.6851263498184,0.9998146527707857,-0.01889772996245205,-5.878609547009256e-05,-1.0828319556821888,0.09703647661665243
37996000.0,0.037996,0.00010446157210084928,0.004508407461414894,-46.91720584405552,0.9997215088353487,-0.023163940120709294,-8.832184709527635e-05,-1.3273282221772906,0.09703583939948436
44995000.0,0.044995,0.00014647578888902366,0.0053379677722036065,-45.449212158963675,0.9996094732251793,-0.02742964971314455,-0.00012384237938085907,-1.5718227204512225,0.09703507312315587
51994000.0,0.051994,0.00019556583898295855,0.006167070528997034,-44.19405659571097,0.9994785494270669,-0.03169476660679013,-0.00016534342093150724,-1.8163151254653476,0.09703417791246552
58993000.0,0.058993,0.0002517267511654166,0.006995644689057556,-43.097825516771934,0.9993287415147616,-0.03595919870561992,-0.00021281998124184401,-2.060805112521952,0.09703315391321884
65992000.0,0.065992,0.00031495283847290977,0.007823619265924923,-42.12481337400634,0.999160054148435,-0.04022285395627478,-0.00026626635132932395,-2.305292357317153,0.09703200129220893
72991000.0,0.072991,0.00038523769889272047,0.008650923336965433,-41.25014700391027,0.9989724925740685,-0.04448564035377917,-0.0003256761044436051,-2.5497765359937548,0.09703072023719432
79990000.0,0.07999,0.0004625742161472964,0.009477486050911092,-40.45580350222711,0.9987660626227602,-0.048747465947247375,-0.00039104209687270005,-2.794257325194041,0.09702931095687173
86989000.0,0.086989,0.0005469545605662414,0.010303236635387628,-39.72830490680651,0.9985407707099565,-0.05300823884557834,-0.0004623564688488344,-3.0387344021124996,0.09702777368085004
93988000.0,0.093988,0.0006383701900446022,0.011128104404430211,-39.05730782640885,0.9982966238346085,-0.05726786722313815,-0.0005396106455212626,-3.2832074445484754,0.09702610865961851
100987000.0,0.100987,0.0007368118510888505,0.011952018765985622,-38.43470097709543,0.998033629578249,-0.06152625932542841,-0.0006227953380500879,-3.5276761309587417,0.09702431616451172
107986000.0,0.107986,0.000842269579949174,0.0127749092293998,-37.85400580579677,0.9977517961039976,-0.06578332347473995,-0.0007119005447507342,-3.772140140509976,0.09702239648767384
114985000.0,0.114985,0.0009547327038381575,0.013596705412889536,-37.30996570382234,0.9974511321554845,-0.07003896807579009,-0.0008069155523643396,-4.016599153131146,0.09702034994201944
121984000.0,0.121984,0.001074189842235652,0.01441733705099721,-36.79825680026817,0.9971316470557043,-0.07429310162134287,-0.0009078289373943344,-4.261052849565797,0.09701817686119099
128983000.0,0.128983,0.0012006289082788324,0.01523673400202749,-36.31527955739335,0.9967933507057903,-0.07854563269781056,-0.0010146285675381938,-4.505500911424209,0.09701587759951172
135982000.0,0.135982,0.0013340371102394557,0.016054826255464557,-35.858005505195855,0.9964362535837161,-0.08279646999083556,-0.001127301603213459,-4.749943021235463,0.09701345253194146
142981000.0,0.142981,0.0014744009530844252,0.01687154393936917,-35.42386248519757,0.9960603667429221,-0.08704552229085166,-0.0012458344991578413,-4.994378862499371,0.0970109020540232
149980000.0,0.14998,0.0016217062401227885,0.01768681732775398,-35.01064734598412,0.9956657018108663,-0.09129269849862286,-0.0013702130061401243,-5.238808119738262,0.09700822658183104
156979000.0,0.156979,0.001775938074735741,0.018500576847936438,-34.61645856866506,0.9952522709875045,-0.09553790763075969,-0.0015004221727288928,-5.48323047854866,0.09700542655191309
163978000.0,0.163978,0.0019370808621927724,0.019312753087867597,-34.23964360026911,0.9948200870436926,-0.09978105882521063,-0.0016364463471808856,-5.727645625652786,0.09700250242123246
170977000.0,0.170977,0.0021051183115496763,0.020123276803436313,-33.87875720281074,0.994369163319521,-0.10402206134672866,-0.0017782691793834739,-5.97205324894993,0.09699945466710853
177976000.0,0.177976,0.0022800334376310884,0.020932078925747333,-33.532528163860455,0.9938995137225707,-0.10826082459231093,-0.0019258736229207812,-6.216453037567654,0.09699628378714753
184975000.0,0.184975,0.0024618085630955773,0.02173909056837222,-33.1998324318278,0.9934111527261023,-0.11249725809661079,-0.002079241937189274,-6.4608446819128265,0.09699299029918003
191974000.0,0.191974,0.002650425320583385,0.022544243034572326,-32.879671243161596,0.99290409536717,-0.11673127153732152,-0.002238355689628488,-6.705227873722505,0.09698957474119045
198973000.0,0.198973,0.0028458646549458454,0.023347467824492246,-32.571153168139034,0.992378357244666,-0.12096277474052954,-0.0024031957580197333,-6.949602306114611,0.09698603767124135
205972000.0,0.205972,0.003048106825557185,0.024148696642323036,-32.273479261868786,0.9918339545172933,-0.1251916776860371,-0.002573742332883728,-7.19396767363844,0.09698237966740439
212971000.0,0.212971,0.0032571314087065715,0.02494786140343418,-31.985930697534563,0.9912709039014694,-0.12941789051265296,-0.002749974919943503,-7.438323672324968,0.09697860132767552
219970000.0,0.21997,0.0034729173000710182,0.025744894241472974,-31.707858400012228,0.990689222669159,-0.1336413235234497,-0.002931872342704774,-7.6826699997369685,0.09697470326990285
226969000.0,0.226969,0.003695442717268609,0.02653972751543038,-31.4386743037152,0.9900889286456391,-0.13786188719098735,-0.0031194127450757418,-7.927006355018925,0.096970686131697
233968000.0,0.233968,0.003924685202490737,0.027332293816672463,-31.177843938539258,0.9894700402071941,-0.142079492162501,-0.00331257359412097,-8.171332438946706,0.0969665505703473
240967000.0,0.240967,0.0041606216252139455,0.028122525975936313,-30.924880108913108,0.9888325762787444,-0.1462940492650531,-0.00351133168285202,-8.415647953977064,0.09696229726273833
247966000.0,0.247966,0.0044032281849895,0.02891035707028929,-30.67933747808459,0.9881765563314071,-0.150505469510648,-0.0037156631331417777,-8.659952604296878,0.09695792690525172
254965000.0,0.254965,0.004652480414311386,0.029695720430050747,-30.44080790639594,0.9875020003799904,-0.154713664101308,-0.003925543398678656,-8.90424609587216,0.09695344021367976
261964000.0,0.261964,0.004908353181560651,0.03047854964567535,-30.208916420986608,0.9868089289804205,-0.1589185444341106,-0.004140947268055349,-9.14852813649687,0.0969488379231275
268963000.0,0.268963,0.005170820694027381,0.03125877857459667,-29.983317716993266,0.9860973632271067,-0.16312002210618526,-0.004361848867876466,-9.392798435841419,0.09694412078791334
275962000.0,0.275962,0.005439856501007842,0.032036341348030344,-29.763693108294316,0.985367324750237,-0.16731800891966836,-0.004588221666015446,-9.637056705500985,0.09693928958146918
282961000.0,0.282961,0.005715433496977236,0.032811172377735884,-29.549747860220133,0.9846188357130141,-0.17151241688661695,-0.004820038474891574,-9.881302659043525,0.09693434509623938
289960000.0,0.28996,0.005997523924837114,0.033583206362735915,-29.341208848213366,0.9838519188088263,-0.17570315823387847,-0.005057271454863718,-10.125536012057564,0.09692928814357338
296959000.0,0.296959,0.006286099379236368,0.03435237829599232,-29.137822495779105,0.9830665972583559,-0.17989014540791656,-0.0052998921176820694,-10.369756482199673,0.09692411955361721
303958000.0,0.303958,0.006581130809966722,0.035118623471037815,-28.939352952676316,0.9822628948066242,-0.1840732910795916,-0.00554787133005687,-10.613963789241716,0.09691884017520587
310957000.0,0.310957,0.006882588525428498,0.035881877488562766,-28.745580480526677,0.9814408357199812,-0.18825250814889613,-0.005801179317238139,-10.858157655117784,0.09691345087574944
