Frequency_Hz,S11_dB,S21_dB
1000000000.0,-16.484405447390927,-4.122440263671773
1096666666.6666667,-17.847580142951923,-4.271648636501618
1193333333.3333333,-18.795340081445193,-4.275358629200408
1290000000.0,-20.26820713706842,-4.3711099092827554
1386666666.6666667,-21.03861105502315,-4.317682814371532
1483333333.3333335,-21.820441511390285,-4.354401646159615
1580000000.0,-21.55993575612328,-4.24348477440925
1676666666.6666667,-20.75168629046005,-4.223048518664469
1773333333.3333335,-19.580430279139957,-4.061633907509429
1870000000.0,-18.135718116839726,-3.993606060378785
1966666666.6666667,-16.914679762973147,-3.7967300185408446
2063333333.3333335,-15.593586076456866,-3.6993743751750356
2160000000.0,-14.585299757795413,-3.491042231535138
2256666666.666667,-13.538118652097015,-3.3916084933859185
2353333333.3333335,-12.775032655541603,-3.2036730365214208
2450000000.0,-12.014577812588943,-3.135226539460528
2546666666.666667,-11.501691071198369,-3.0014480735014053
2643333333.3333335,-11.027169529686432,-2.993810143732377
2740000000.0,-10.767641481758645,-2.938263030378256
2836666666.666667,-10.573608324801029,-3.005429455069628
2933333333.3333335,-10.561323062142925,-3.03123926773337
3030000000.0,-10.632384747366295,-3.164029400608079
3126666666.666667,-10.850334119711151,-3.2518182722414597
3223333333.3333335,-11.166406784878708,-3.4225275045328822
3320000000.0,-11.597562714695908,-3.540151171953068
3416666666.666667,-12.14950026499321,-3.714905914287053
3513333333.3333335,-12.79388211640236,-3.829818964134115
3610000000.0,-13.602686743676722,-3.9790147810508114
3706666666.666667,-14.495716445167506,-4.065875790406337
3803333333.3333335,-15.637279739542528,-4.168777185242829
3900000000.0,-16.874140454501294,-4.211483940124837
3996666666.666667,-18.519273899436904,-4.256592948454915
4093333333.3333335,-20.266427122245652,-4.247791492051341
4190000000.0,-22.612865927408762,-4.231930989647754
4286666666.666667,-24.449668859814242,-4.172099241538422
4383333333.333334,-25.295378197542867,-4.099842939247596
4480000000.0,-23.54686541502858,-3.9971166141902947
4576666666.666667,-21.146173906034996,-3.8809191263370906
4673333333.333334,-18.914616360926754,-3.7513508032975484
4770000000.0,-16.955260099119492,-3.611698838304178
4866666666.666667,-15.424812035443157,-3.4788740612741043
4963333333.333334,-14.06418838228933,-3.3428148407279537
5060000000.0,-13.049361992504831,-3.2346724765344614
5156666666.666667,-12.141165318719583,-3.1304921166976563
5253333333.333334,-11.526612510617035,-3.0717753890335637
5350000000.0,-10.99298042149499,-3.0196641093458867
5446666666.666667,-10.724434407088935,-3.0219304950823678
5543333333.333334,-10.523639905839115,-3.025079801754034
5640000000.0,-10.570763916041228,-3.080816811453854
5736666666.666667,-10.676809614455486,-3.1239428095820667
5833333333.333334,-11.024331949397688,-3.2099221650724874
5930000000.0,-11.428403213258765,-3.2666837916069147
6026666666.666667,-12.085030948980043,-3.3539036293283186
6123333333.333334,-12.806465398517684,-3.3974471553931767
6220000000.0,-13.81497087689378,-3.460758351735145
6316666666.666667,-14.892121409258895,-3.4715004091489825
6413333333.333334,-16.2711537894058,-3.495432159809446
6510000000.0,-17.538634059749057,-3.4651060789551957
6606666666.666667,-18.673081473767585,-3.4467314893465364
6703333333.333334,-18.68631016078689,-3.380609083312205
6800000000.0,-17.746851788297228,-3.331467700210236
6896666666.666667,-16.00426396983162,-3.249863865657571
6993333333.333334,-14.280824066195217,-3.1968806233729508
7090000000.0,-12.61918901278096,-3.134545698454448
7186666666.666667,-11.256594049299158,-3.116646438079637
7283333333.333334,-10.06636820523866,-3.1152021151140707
7380000000.0,-9.161431509794554,-3.1707418484921197
7476666666.666667,-8.415173343912969,-3.261284763169368
7573333333.333334,-7.921405257119167,-3.4080046158983586
