Frequency_Hz,S11_dB,S21_dB
1000000000.0,-15.691862459750839,-4.32973728084902
1096666666.6666667,-16.779183794586213,-4.4880659320965695
1193333333.3333333,-17.307562278149668,-4.539037374539481
1290000000.0,-18.24395014710328,-4.574505872617484
1386666666.6666667,-19.143915998631286,-4.631050017745015
1483333333.3333335,-19.15620963035082,-4.56178585209238
1580000000.0,-19.53880133008867,-4.545243339781439
1676666666.6666667,-19.38976879436365,-4.462935014325629
1773333333.3333335,-18.349114583738732,-4.321041934138695
1870000000.0,-17.795073569036433,-4.232261579707575
1966666666.6666667,-16.821050273237756,-4.03894180998909
2063333333.3333335,-15.557979873444639,-3.876533844522407
2160000000.0,-14.85100383120084,-3.720488048921017
2256666666.666667,-13.834568455673947,-3.501044678190497
2353333333.3333335,-12.917368559203954,-3.370306093682778
2450000000.0,-12.389476351824374,-3.208587414280102
2546666666.666667,-11.63716571203545,-3.0744196450723993
2643333333.3333335,-11.16810057679924,-3.0305813810113316
2740000000.0,-10.917423999254094,-2.9580506868105894
2836666666.666667,-10.548659939372712,-2.985235618345782
2933333333.3333335,-10.522631553991324,-3.051213055780188
3030000000.0,-10.578112040379498,-3.115292887740772
3126666666.666667,-10.599786394172417,-3.278749945701336
3223333333.3333335,-10.962272997610306,-3.4114866838519213
3320000000.0,-11.28050970379072,-3.571296545643306
3416666666.666667,-11.655135940170583,-3.767825675132213
3513333333.3333335,-12.347735313960744,-3.899596604777007
3610000000.0,-12.886837364886922,-4.072466500514852
3706666666.666667,-13.641163579462727,-4.207036073349252
3803333333.3333335,-14.660968977859723,-4.2946875173540295
3900000000.0,-15.478333677235586,-4.406186545813709
3996666666.666667,-16.764952631178023,-4.437429310353149
4093333333.3333335,-18.206918508390903,-4.460889937194818
4190000000.0,-19.43664771385519,-4.46674175495968
4286666666.666667,-21.28609800423096,-4.400720044447436
4383333333.333334,-22.62531343807286,-4.349159358958119
4480000000.0,-22.490422656136847,-4.246916482038831
4576666666.666667,-21.741052357066888,-4.114545894661728
4673333333.333334,-20.148488201729503,-3.993689764629526
4770000000.0,-18.033540957179962,-3.8253896721767706
4866666666.666667,-16.53249475553224,-3.6714020739106923
4963333333.333334,-15.10776921414861,-3.5226799531648147
5060000000.0,-13.733229485598873,-3.3632564782463312
5156666666.666667,-12.847683746873988,-3.247020832633373
5253333333.333334,-11.970625157595322,-3.1435777701674192
5350000000.0,-11.27557626969647,-3.0683343295524272
5446666666.666667,-10.911009319713047,-3.0432249854429467
5543333333.333334,-10.530354725385255,-3.0376872781142987
5640000000.0,-10.406096247666778,-3.0695285631432627
5736666666.666667,-10.485876600573569,-3.1345092004143105
5833333333.333334,-10.564954174002976,-3.205529782815826
5930000000.0,-10.950347419761954,-3.2954879300354274
6026666666.666667,-11.426965911779206,-3.38868448003465
6123333333.333334,-11.983628904152742,-3.463999387818839
6220000000.0,-12.9012409608019,-3.537779615009859
6316666666.666667,-13.823987269246052,-3.5872962352882958
6413333333.333334,-15.050454047440788,-3.6056395458540766
6510000000.0,-16.609411215305457,-3.6126132374220656
6606666666.666667,-17.99617198092517,-3.5801029394286132
6703333333.333334,-19.46054725958967,-3.52446566567668
6800000000.0,-19.287578047004665,-3.459525969860066
6896666666.666667,-17.911175842599924,-3.363591819105076
6993333333.333334,-15.779565446001058,-3.2773896343072817
7090000000.0,-13.604332580540184,-3.202516441053734
7186666666.666667,-11.861480884280223,-3.1398669517268307
7283333333.333334,-10.23588584292257,-3.141337597677411
7380000000.0,-8.98933736932444,-3.1921612805210713
7476666666.666667,-8.016512037706736,-3.3139758017609555
7573333333.333334,-7.208563390704463,-3.5353916629427315
7670000000.0,-6.712528030125027,-3.815347621091503
7766666666.666667,-6.370530747740389,-4.177723304135795
7863333333.333334,-6.173091310437014,-4.6030164302065915
7960000000.0,-6.187633484461469,-5.044488981845515
8056666666.666667,-6.250470516367168,-5.530270390412129
8153333333.333334,-6.427366953927312,-6.008358454022554
8250000000.0,-6.7211060966948475,-6.467093032437012
8346666666.666667,-6.997452778579119,-6.930524591798846
8443333333.333334,-7.387673902525272,-7.337715189606492
8540000000.0,-7.809946317183146,-7.722159407392962
8636666666.666668,-8.2038400667866,-8.077557140015518
8733333333.333334,-8.714607390147643,-8.362735017300874
8830000000.0,-9.171753843575846,-8.632763639591346
8926666666.666668,-9.624466121923765,-8.843252535432901
9023333333.333334,-10.149654662662275,-8.99720837605411
9120000000.0,-10.52864585186882,-9.131873721510571
9216666666.666668,-10.90790982023927,-9.189620529556413
9313333333.333334,-11.232508014118626,-9.214339843943751
9410000000.0,-11.313997804016807,-9.200458572773906
9506666666.666668,-11.352928556402071,-9.113992535883785
9603333333.333334,-11.201257210439753,-9.008372006132655
9700000000.0,-10.809957648965474,-8.844267805948444
9796666666.666668,-10.399063888575522,-8.628225278493076
9893333333.333334,-9.815350556669635,-8.391584899121032
9990000000.0,-9.147653503640411,-8.092395558981082
10086666666.666668,-8.535678142343423,-7.765213611625786
10183333333.333334,-7.8421538325184335,-7.412790449013162
10280000000.0,-7.207564955606843,-7.014942832031807
10376666666.666668,-6.659757629064975,-6.611943559142057
10473333333.333334,-6.117318503509428,-6.1936571229899435
10570000000.0,-5.723570748980338,-5.764633313024248
10666666666.666668,-5.438933577740718,-5.359618613335721
10763333333.333334,-5.256451886860676,-4.969908880823373
10860000000.0,-5.297046138741058,-4.612674262675403
10956666666.666668,-5.495103558077801,-4.314077840502008
11053333333.333334,-5.9106517257808555,-4.063216664560338
11150000000.0,-6.631774161460431,-3.8761335622076882
11246666666.666668,-7.576016934293137,-3.766623308048821
11343333333.333334,-8.850753054865978,-3.7153755437752523
11440000000.0,-10.321701751999921,-3.7406809296914463
11536666666.666668,-11.422830151820364,-3.851115573432462
11633333333.333334,-11.399861581619316,-4.034499752327681
11730000000.0,-9.774154298326717,-4.330688405157819
11826666666.666668,-7.658251092299637,-4.756655219852904
11923333333.333334,-5.640556125563064,-5.321448107382865
12020000000.0,-3.9521036631938635,-6.079939031428441
12116666666.666668,-2.68675608917732,-7.033373658303047
12213333333.333334,-1.7425798962737125,-8.168904410836252
12310000000.0,-1.123819837018824,-9.503277774136405
12406666666.666668,-0.7830203556166948,-10.980187172197093
12503333333.333334,-0.6244014913080985,-12.550643247695607
12600000000.0,-0.6527844692844584,-14.227676588502447
12696666666.666668,-0.8080635463388375,-15.930860609449907
12793333333.333334,-1.0415388858869334,-17.635365333861984
12890000000.0,-1.383440704749721,-19.39935147344475
12986666666.666668,-1.770652769181521,-21.097427883020416
13083333333.333334,-2.2080887508479776,-22.783863695891462
13180000000.0,-2.723280248025177,-24.525858932090514
13276666666.666668,-3.2481067013970715,-26.11072500350756
13373333333.333334,-3.8401496428512067,-27.76903876381367
13470000000.0,-4.486507380991661,-29.431636791890654
13566666666.666668,-5.141348722030088,-30.871088533633845
13663333333.333334,-5.896360677221302,-32.562691334924196
13760000000.0,-6.675704708615793,-34.04994740021179
13856666666.666668,-7.501572702302784,-35.41213956347725
13953333333.333334,-8.44915654574929,-37.17615151053085
14050000000.0,-9.392816064063757,-38.35328429128711
14146666666.666668,-10.451879151754826,-39.847024269205214
14243333333.333334,-11.606350135122552,-41.552229441469066
14340000000.0,-12.716830427643464,-42.39527866276559
14436666666.666668,-13.9491402843894,-44.30300791568747
14533333333.333334,-15.057116856838984,-45.5319720348142
14630000000.0,-15.839748305116434,-46.372730224922506
14726666666.666668,-16.36480191246401,-48.77121731923978
14823333333.333334,-16.25592183342669,-49.0231938703349
14920000000.0,-15.638523444958954,-50.608459932908964
15016666666.666668,-14.89297036322907,-52.83815405402933
15113333333.333334,-13.899418379747686,-52.27158986132771
15210000000.0,-12.918412218183636,-55.43955200312872
15306666666.666668,-12.064446855703517,-55.81376007225433
15403333333.333334,-11.158074559053322,-55.84499067686258
15500000000.0,-10.400915355931744,-60.68309981957809
15596666666.666668,-9.708452679708303,-57.89888151688472
15693333333.333334,-9.017188369458335,-60.51785758294348
15790000000.0,-8.468200463179409,-63.75564432227328
15886666666.666668,-7.9086704368929635,-60.16572256816478
15983333333.333334,-7.404463845720373,-67.79217315815731
16080000000.0,-6.982761820579083,-63.73671721829049
16176666666.666668,-6.53087481871153,-63.54181624307961
