Frequency_Hz,S11_dB,S21_dB
1000000000.0,-17.17872400928563,-4.121980314921884
1096666666.6666667,-18.390472287119387,-4.151010294636729
1193333333.3333333,-20.26631940295452,-4.21727634985391
1290000000.0,-21.91633217833887,-4.237251994389482
1386666666.6666667,-24.105157912988812,-4.199151023720114
1483333333.3333335,-24.98593243727329,-4.201203785395407
1580000000.0,-24.73570955999861,-4.0714730622212985
1676666666.6666667,-22.619148633273973,-4.043064660333989
1773333333.3333335,-20.594094079539826,-3.852412524778122
1870000000.0,-18.49055626655627,-3.7857021244095463
1966666666.6666667,-16.834801135815706,-3.5761116995734534
2063333333.3333335,-15.273948587778358,-3.4773748939734124
2160000000.0,-14.063029857470589,-3.2958114298438135
2256666666.666667,-12.915946795464336,-3.1903150132810993
2353333333.3333335,-12.074299259684757,-3.0818301194206517
2450000000.0,-11.265862437019367,-3.008158837581521
2546666666.666667,-10.751489429087052,-3.005116666683223
2643333333.3333335,-10.251012351673204,-2.9980016341003646
2740000000.0,-10.030350044021208,-3.1066740132662756
2836666666.666667,-9.81362594618531,-3.1782875723416733
2933333333.3333335,-9.842263703728577,-3.373693261137362
3030000000.0,-9.876089403942427,-3.5088616478205226
3126666666.666667,-10.102541669957612,-3.7453005773628623
3223333333.3333335,-10.350819775720224,-3.9128877236214024
3320000000.0,-10.732437957517408,-4.142011219854752
3416666666.666667,-11.169123128627792,-4.309369988015817
3513333333.3333335,-11.684362123649457,-4.492890886265065
3610000000.0,-12.302606453898076,-4.63343685780327
3706666666.666667,-12.955909851853914,-4.747112583809621
3803333333.3333335,-13.772861333567654,-4.841308172191582
3900000000.0,-14.592717111133798,-4.873814444770047
3996666666.666667,-15.645921802926024,-4.907972382365992
4093333333.3333335,-16.6616352348362,-4.85835938433021
4190000000.0,-17.948974038109885,-4.824295172126315
4286666666.666667,-19.028077353413508,-4.69984244336901
4383333333.333334,-20.12257873625975,-4.59674292028256
4480000000.0,-20.35975761692699,-4.412276800372097
4576666666.666667,-19.959857426994944,-4.250365734216034
4673333333.333334,-18.6505022494206,-4.02982196007666
4770000000.0,-17.200951798651477,-3.834617520315197
4866666666.666667,-15.609209830186705,-3.614236771074914
4963333333.333334,-14.26826796681377,-3.428164846056762
5060000000.0,-12.990632458863136,-3.256790232998727
5156666666.666667,-12.02612222047361,-3.1321206670950414
5253333333.333334,-11.14169087013655,-3.060271495113845
5350000000.0,-10.572664052596,-3.0384637752058126
5446666666.666667,-10.069836759631094,-3.0942481961519945
5543333333.333334,-9.865054541437077,-3.1812724920311153
5640000000.0,-9.702054424055346,-3.3514397099122712
5736666666.666667,-9.805596649975463,-3.5137002762856904
5833333333.333334,-9.926718765590806,-3.7505070078561102
5930000000.0,-10.28023254948939,-3.9369186468962236
6026666666.666667,-10.641728544526448,-4.181853640807397
6123333333.333334,-11.209468106437967,-4.348398191783835
6220000000.0,-11.801902002376469,-4.550378273716004
6316666666.666667,-12.587848599026884,-4.669469050017293
6413333333.333334,-13.45230770753651,-4.791653475439429
6510000000.0,-14.51695430963509,-4.84914735183694
6606666666.666667,-15.766342621815593,-4.8702625093565635
6703333333.333334,-17.249399106560283,-4.859294951017714
6800000000.0,-19.056462235441934,-4.773937008902313
6896666666.666667,-21.00000111012956,-4.692182449151768
6993333333.333334,-22.60310423098079,-4.511543166228937
7090000000.0,-22.545795143192912,-4.364784554642797
7186666666.666667,-20.499687688281085,-4.118806307992994
7283333333.333334,-18.180161777118894,-3.9305682990004502
7380000000.0,-15.868086683179348,-3.6723762810998006
7476666666.666667,-14.064048292987748,-3.494942383978488
7573333333.333334,-12.480945849993649,-3.30235454704034
7670000000.0,-11.296473821388256,-3.2140005733461727
7766666666.666667,-10.345235327970041,-3.1706779220398413
7863333333.333334,-9.703769167903324,-3.2388879374116435
7960000000.0,-9.29624462144635,-3.3855045026606017
8056666666.666667,-9.119025053284972,-3.612517140864932
8153333333.333334,-9.155394471520705,-3.9125529068061087
8250000000.0,-9.33464984085957,-4.229146633044467
8346666666.666667,-9.706498575489373,-4.597640853625706
8443333333.333334,-10.138402080619546,-4.913016470146912
8540000000.0,-10.766472758663593,-5.266646545494792
8636666666.666668,-11.38299821069239,-5.510091075247231
8733333333.333334,-12.22902166496938,-5.7865798223301965
8830000000.0,-12.993196746875306,-5.915660915442115
8926666666.666668,-14.031518564626966,-6.068926721967557
9023333333.333334,-14.876692419478426,-6.060723006893029
