Frequency_Hz,S11_dB,S21_dB
1000000000.0,-16.072382253492634,-4.2808392875695525
1096666666.6666667,-17.12848090043051,-4.3633510691032225
1193333333.3333333,-17.751443045655133,-4.389550152213016
1290000000.0,-19.25169575092277,-4.492663539297576
1386666666.6666667,-20.005431360839104,-4.419716774872522
1483333333.3333335,-20.345102073590446,-4.423956415501756
1580000000.0,-21.23146033192444,-4.3742361860605845
1676666666.6666667,-20.471416413014225,-4.214172765472852
1773333333.3333335,-19.39126956595583,-4.172856139917133
1870000000.0,-18.75544082806139,-3.966533753021431
1966666666.6666667,-17.0846543386312,-3.810394233076905
2063333333.3333335,-15.86098268194947,-3.685613683438146
2160000000.0,-14.94401979715362,-3.4306293131223025
2256666666.666667,-13.57018097667872,-3.3370719827381103
2353333333.3333335,-12.804426729597878,-3.1660576291074682
2450000000.0,-12.03383432897221,-3.019744637993551
2546666666.666667,-11.193904719131659,-3.0244995642786696
2643333333.3333335,-10.859833299612095,-2.9218566308273153
2740000000.0,-10.384098651769172,-2.993921455364702
2836666666.666667,-10.08508606639452,-3.093845379921129
2933333333.3333335,-10.111541296164486,-3.1510401505811503
3030000000.0,-9.958738629448504,-3.406100920521947
3126666666.666667,-10.116927757208048,-3.53822652723816
3223333333.3333335,-10.382871587973773,-3.7497745467646593
3320000000.0,-10.507791543908096,-4.024327806274557
3416666666.666667,-11.017066991898364,-4.139334522767676
3513333333.3333335,-11.39277199029981,-4.415550113164344
3610000000.0,-11.803779575682443,-4.559049055604328
3706666666.666667,-12.565835805923582,-4.667326664723607
3803333333.3333335,-13.01397146678491,-4.868738227824457
3900000000.0,-13.80067175662633,-4.8538822691452905
3996666666.666667,-14.725910572738645,-4.952932972048225
4093333333.3333335,-15.347499629302101,-4.964362237309455
4190000000.0,-16.58467408981987,-4.864195132183201
4286666666.666667,-17.55988574590569,-4.8826277710822374
4383333333.333334,-18.31320247045924,-4.700419455120675
4480000000.0,-19.518456542710094,-4.576539344150029
4576666666.666667,-19.60300999519345,-4.440716850953411
4673333333.333334,-18.98690241025994,-4.166756083316181
4770000000.0,-18.340630740057417,-4.022386731635155
4866666666.666667,-16.765267887433126,-3.7641420673616555
4963333333.333334,-15.248124110814521,-3.527906352328671
5060000000.0,-14.125019126646874,-3.3844293043126856
5156666666.666667,-12.738766208561653,-3.156726951747056
5253333333.333334,-11.74784564264937,-3.0770955930427304
5350000000.0,-11.016020430543849,-3.0331221304941325
5446666666.666667,-10.22890076659169,-3.0047299757730475
5543333333.333334,-9.8630900898374,-3.149244298031184
5640000000.0,-9.588574780829106,-3.2711053233859855
5736666666.666667,-9.35941551245519,-3.474149332470657
5833333333.333334,-9.483504397245806,-3.771276245757856
5930000000.0,-9.536952354291754,-3.991293016207367
6026666666.666667,-9.724728175542236,-4.316392788067704
6123333333.333334,-10.136758288169311,-4.605415342531493
6220000000.0,-10.376235256878507,-4.830034579049787
6316666666.666667,-10.873147463842374,-5.141835704851453
6413333333.333334,-11.394500646299052,-5.309983303828152
6510000000.0,-11.778897109879317,-5.500272866987829
6606666666.666667,-12.496835095771308,-5.684492287804081
6703333333.333334,-12.994919715267542,-5.720458720116309
6800000000.0,-13.518929825629149,-5.843668050999923
6896666666.666667,-14.273261882204347,-5.837142247280399
6993333333.333334,-14.5834328899513,-5.787400981608949
7090000000.0,-15.043643752176122,-5.781911919997769
