objective,a_mm,b_mm,d_mm,ring_spacing_mm,section_pitch_mm,n_sections,passband_worst_loss_1_8p5_dB,s21_10GHz_dB,s21_20GHz_dB,max_s21_12_20_dB,max_s21_20_100_dB
2461.6613765322395,7.4551,4.9685,5.0112,5.49,10.348,6,56.96958681895221,-34.605289371779456,-26.21659378285575,-16.581874355835204,-8.907431727925601
2928.060809211166,7.4268,5.0865,5.7943,3.8195,13.6086,6,68.66154369757884,-43.0591709116854,-26.87033732007789,-24.331897166304582,-9.436843897038523
3119.5642790373,5.2622,5.1314,6.3723,5.7859,13.7408,5,71.96687924924042,-52.73420481621162,-25.07074840266602,-28.983788618252735,-9.570629264074334
